"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"74 years"	"74"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	"Texas"	"48"	10	8283	Unreliable
	"74 years"	"74"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	"Texas"	"48"	10	8721	Unreliable
	"74 years"	"74"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	11	13682	Unreliable
	"74 years"	"74"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	13	16050	Unreliable
	"74 years"	"74"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	13	16319	Unreliable
	"74 years"	"74"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	14	12418	Unreliable
	"74 years"	"74"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	20	17138	116.7
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	"California"	"06"	11	14967	Unreliable
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	12	15055	Unreliable
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	15570	Unreliable
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Texas"	"48"	10	13326	Unreliable
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	11	18011	Unreliable
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"Texas"	"48"	14	13310	Unreliable
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	14	18657	Unreliable
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	26	19834	131.1
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	24	20984	114.4
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	10	15180	Unreliable
	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	19	21283	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	"California"	"06"	10	11398	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	10	11037	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	11527	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	12	12606	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"Texas"	"48"	13	9746	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	13	13198	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	21	13914	150.9
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	10	10567	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	11	14911	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	14	10933	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	20	15618	128.1
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	19	15660	Unreliable
	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	14	11992	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	"Texas"	"48"	12	9364	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	"Texas"	"48"	11	9297	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	"California"	"06"	10	13926	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	11	14917	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	10	14856	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	11	15477	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"Texas"	"48"	11	11486	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	12	17086	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	10	17408	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"Texas"	"48"	10	12976	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	13	17601	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	18	18571	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	17	19451	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	14	13954	Unreliable
	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	15	20402	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	"Texas"	"48"	10	8088	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	11	10864	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	10997	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	14	11221	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	20	12455	160.6
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	15	12732	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	12	12808	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	10	9638	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	18	13657	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	17	14553	Unreliable
	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	18	15020	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	"Texas"	"48"	12	7433	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	"Texas"	"48"	12	9079	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	"Texas"	"48"	13	9124	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"Texas"	"48"	12	9649	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	17	15092	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	10	14338	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	15	14652	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	11	15200	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	23	16725	137.5
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	13	16986	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	14	17401	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	11	12777	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	18	18114	Unreliable
	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	25	18819	132.8
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	11	10747	Unreliable
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	11	10458	Unreliable
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	16	10632	Unreliable
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"Texas"	"48"	10	8348	Unreliable
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	17	12015	Unreliable
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	11	12254	Unreliable
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	23	12508	183.9
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	12	13276	Unreliable
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	11	9981	Unreliable
	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	21	13908	151.0
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	"Texas"	"48"	11	7928	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	"Texas"	"48"	10	8705	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	11	13304	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"Texas"	"48"	10	9783	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	10	15022	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	16	14313	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"Texas"	"48"	16	10143	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	10	14142	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	14	14839	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	16341	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	15	12088	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	19	16710	Unreliable
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	20	17030	117.4
	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	24	17495	137.2
	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	10	10449	Unreliable
	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"Texas"	"48"	16	7379	Unreliable
	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	11	10218	Unreliable
	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	10	10628	Unreliable
	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	15	11571	Unreliable
	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	13	11942	Unreliable
	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	19	12075	Unreliable
	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	28	12632	221.7
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	"Texas"	"48"	11	7596	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	15	12989	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"Texas"	"48"	10	9375	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	11	14738	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	16	14002	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"Texas"	"48"	13	9996	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	14453	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	11	10533	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	11	16101	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	10	16348	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	11	11947	Unreliable
	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	20	16440	121.7
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	"Texas"	"48"	10	5518	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	"California"	"06"	11	8175	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	12	8907	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	10093	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	18	9863	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	13	9833	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	12	10189	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	23	11195	205.4
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	14	8347	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	18	11543	Unreliable
	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	22	11425	192.6
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	"Texas"	"48"	10	6677	Unreliable
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	12293	Unreliable
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	15	13632	Unreliable
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	12	13559	Unreliable
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"Texas"	"48"	15	9884	Unreliable
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	18	13642	Unreliable
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	18	14167	Unreliable
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	20	15691	127.5
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	11	11448	Unreliable
	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	21	15790	133.0
	"80 years"	"80"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	13	9543	Unreliable
	"80 years"	"80"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	21	9454	222.1
	"80 years"	"80"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	12	9887	Unreliable
	"80 years"	"80"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	10	7270	Unreliable
	"80 years"	"80"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	21	10853	193.5
	"80 years"	"80"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	19	10957	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"Texas"	"48"	10	6967	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	10	10670	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	12	11771	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"Texas"	"48"	15	8324	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	12	11718	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"Texas"	"48"	13	8532	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	13	13120	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"Texas"	"48"	12	9153	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	23	12956	177.5
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	13	9374	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	24	13234	181.4
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	11	9534	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	13	13731	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	14	10017	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	16	15027	Unreliable
	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	13	11003	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	"Texas"	"48"	10	4636	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	11	7380	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	18	7993	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"Texas"	"48"	10	5600	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	10	9214	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	17	9034	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	13	9024	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	12	9032	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	19	9413	Unreliable
	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	20	10227	195.6
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	12	10372	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	14	10987	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"Texas"	"48"	11	8047	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	19	11383	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Texas"	"48"	10	8215	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	15	12759	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	22	12555	175.2
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	10	8783	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	20	12585	158.9
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	14	9041	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	18	12882	Unreliable
	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	20	13110	152.6
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	"Texas"	"48"	11	4375	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	11	6669	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	6821	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	12	7105	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	15	7637	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	21	8619	243.6
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	14	8461	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	19	8516	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	16	8563	Unreliable
	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	15	8765	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	"Texas"	"48"	11	3837	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	"Texas"	"48"	12	5743	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	11	8682	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	11	9325	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	9844	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	15	10081	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"Texas"	"48"	10	7223	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	10	10633	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Texas"	"48"	14	7790	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	18	10899	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	12	12210	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	10	8610	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	12	12156	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	10	8495	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	15	12108	Unreliable
	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	24	12200	196.7
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	"California"	"06"	10	5112	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	"California"	"06"	11	5648	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	12	5941	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	12	6354	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	12	7206	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	14	8135	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	17	8085	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	15	8116	Unreliable
	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	13	8078	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	"California"	"06"	11	7099	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"Texas"	"48"	12	5934	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	16	8749	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"Texas"	"48"	10	6738	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	13	9084	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	11	9636	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Texas"	"48"	14	6894	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	13	10131	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	13	10499	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	23	11800	194.9
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	12	11636	Unreliable
	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	20	11413	175.2
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	18	5470	Unreliable
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	16	6839	Unreliable
	"84 years"	"84"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	12	7672	Unreliable
