"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"85-89 years"	"85-89"	"White"	"2106-3"	"2010"	"2010"	443	Not Applicable	Not Applicable
	"Florida"	"12"	"85-89 years"	"85-89"	"White"	"2106-3"	"2011"	"2011"	433	Not Applicable	Not Applicable
	"Florida"	"12"	"85-89 years"	"85-89"	"White"	"2106-3"	"2012"	"2012"	409	Not Applicable	Not Applicable
	"Florida"	"12"	"85-89 years"	"85-89"	"White"	"2106-3"	"2013"	"2013"	449	Not Applicable	Not Applicable
	"Florida"	"12"	"85-89 years"	"85-89"	"White"	"2106-3"	"2014"	"2014"	450	Not Applicable	Not Applicable
	"Florida"	"12"	"85-89 years"	"85-89"	"White"	"2106-3"	"2015"	"2015"	436	Not Applicable	Not Applicable
	"Florida"	"12"	"85-89 years"	"85-89"	"White"	"2106-3"	"2016"	"2016"	455	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2000"	"2000"	22	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2001"	"2001"	32	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2002"	"2002"	39	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2003"	"2003"	22	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2004"	"2004"	31	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2005"	"2005"	19	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2006"	"2006"	25	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2007"	"2007"	20	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2008"	"2008"	16	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2009"	"2009"	21	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2010"	"2010"	22	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2011"	"2011"	26	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2012"	"2012"	24	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2013"	"2013"	25	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2014"	"2014"	22	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2015"	"2015"	28	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"Black or African American"	"2054-5"	"2016"	"2016"	22	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2000"	"2000"	540	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2001"	"2001"	532	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2002"	"2002"	496	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2003"	"2003"	434	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2004"	"2004"	439	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2005"	"2005"	427	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2006"	"2006"	336	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2007"	"2007"	349	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2008"	"2008"	337	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2009"	"2009"	307	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2010"	"2010"	298	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2011"	"2011"	383	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2012"	"2012"	366	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2013"	"2013"	389	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2014"	"2014"	363	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2015"	"2015"	382	Not Applicable	Not Applicable
	"Florida"	"12"	"90-94 years"	"90-94"	"White"	"2106-3"	"2016"	"2016"	359	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2000"	"2000"	14	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2002"	"2002"	12	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2005"	"2005"	11	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2006"	"2006"	11	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2009"	"2009"	16	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2010"	"2010"	11	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2011"	"2011"	11	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2013"	"2013"	11	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2014"	"2014"	13	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"Black or African American"	"2054-5"	"2016"	"2016"	13	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2000"	"2000"	214	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2001"	"2001"	231	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2002"	"2002"	232	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2003"	"2003"	191	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2004"	"2004"	185	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2005"	"2005"	195	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2006"	"2006"	133	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2007"	"2007"	133	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2008"	"2008"	134	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2009"	"2009"	148	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2010"	"2010"	134	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2011"	"2011"	161	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2012"	"2012"	161	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2013"	"2013"	190	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2014"	"2014"	161	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2015"	"2015"	165	Not Applicable	Not Applicable
	"Florida"	"12"	"95-99 years"	"95-99"	"White"	"2106-3"	"2016"	"2016"	159	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2000"	"2000"	42	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2001"	"2001"	43	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2002"	"2002"	52	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2003"	"2003"	40	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2004"	"2004"	54	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2005"	"2005"	46	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2006"	"2006"	32	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2007"	"2007"	23	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2008"	"2008"	45	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2009"	"2009"	38	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2010"	"2010"	31	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2011"	"2011"	42	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2012"	"2012"	42	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2013"	"2013"	41	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2014"	"2014"	31	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2015"	"2015"	43	Not Applicable	Not Applicable
	"Florida"	"12"	"100+ years"	"100+"	"White"	"2106-3"	"2016"	"2016"	35	Not Applicable	Not Applicable
	"Georgia"	"13"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"2006"	"2006"	10	45405	Unreliable
	"Georgia"	"13"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"2011"	"2011"	10	49024	Unreliable
	"Georgia"	"13"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"2016"	"2016"	10	50222	Unreliable
	"Georgia"	"13"	"30-34 years"	"30-34"	"Black or African American"	"2054-5"	"2009"	"2009"	11	213946	Unreliable
	"Georgia"	"13"	"30-34 years"	"30-34"	"Black or African American"	"2054-5"	"2015"	"2015"	10	232777	Unreliable
	"Georgia"	"13"	"30-34 years"	"30-34"	"White"	"2106-3"	"2010"	"2010"	11	406379	Unreliable
	"Georgia"	"13"	"35-39 years"	"35-39"	"White"	"2106-3"	"2000"	"2000"	13	472164	Unreliable
	"Georgia"	"13"	"35-39 years"	"35-39"	"White"	"2106-3"	"2001"	"2001"	11	465731	Unreliable
	"Georgia"	"13"	"35-39 years"	"35-39"	"White"	"2106-3"	"2007"	"2007"	10	459251	Unreliable
	"Georgia"	"13"	"35-39 years"	"35-39"	"White"	"2106-3"	"2010"	"2010"	10	435194	Unreliable
	"Georgia"	"13"	"35-39 years"	"35-39"	"White"	"2106-3"	"2013"	"2013"	15	401265	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"Black or African American"	"2054-5"	"2000"	"2000"	14	187312	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"Black or African American"	"2054-5"	"2001"	"2001"	16	194802	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"Black or African American"	"2054-5"	"2002"	"2002"	11	199125	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"Black or African American"	"2054-5"	"2003"	"2003"	15	204090	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"Black or African American"	"2054-5"	"2006"	"2006"	13	221469	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"Black or African American"	"2054-5"	"2009"	"2009"	16	221902	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"Black or African American"	"2054-5"	"2013"	"2013"	10	226286	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"Black or African American"	"2054-5"	"2014"	"2014"	10	226659	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2000"	"2000"	24	449021	5.3
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2002"	"2002"	15	463912	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2003"	"2003"	11	466180	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2004"	"2004"	12	469982	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2005"	"2005"	11	470998	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2006"	"2006"	16	466673	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2008"	"2008"	15	453731	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2009"	"2009"	14	446482	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2010"	"2010"	14	445521	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2013"	"2013"	14	448876	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2014"	"2014"	16	439457	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2015"	"2015"	12	426411	Unreliable
	"Georgia"	"13"	"40-44 years"	"40-44"	"White"	"2106-3"	"2016"	"2016"	14	409749	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2000"	"2000"	21	156095	13.5
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2001"	"2001"	17	164357	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2002"	"2002"	10	172865	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2003"	"2003"	10	179863	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2005"	"2005"	14	193674	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2006"	"2006"	12	201272	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2007"	"2007"	15	207883	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2008"	"2008"	14	214045	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2010"	"2010"	13	223003	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2012"	"2012"	13	222896	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2013"	"2013"	11	221067	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2014"	"2014"	13	218726	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2016"	"2016"	10	223476	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2000"	"2000"	14	401794	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2001"	"2001"	17	413586	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2002"	"2002"	19	424408	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2003"	"2003"	15	433425	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2004"	"2004"	11	440376	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2005"	"2005"	20	449492	4.4
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2006"	"2006"	12	458194	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2007"	"2007"	13	464102	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2008"	"2008"	26	467348	5.6
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2009"	"2009"	22	470945	4.7
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2010"	"2010"	15	471119	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2011"	"2011"	17	460520	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2012"	"2012"	11	452810	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2013"	"2013"	31	444650	7.0
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2014"	"2014"	17	439217	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2015"	"2015"	17	440999	Unreliable
	"Georgia"	"13"	"45-49 years"	"45-49"	"White"	"2106-3"	"2016"	"2016"	16	447794	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2000"	"2000"	11	119281	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2001"	"2001"	15	132258	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2002"	"2002"	13	139438	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2003"	"2003"	13	145920	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2004"	"2004"	18	153077	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2005"	"2005"	12	160065	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2006"	"2006"	14	169001	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2007"	"2007"	13	178980	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2008"	"2008"	13	186920	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2009"	"2009"	22	193364	11.4
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2010"	"2010"	14	198663	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2011"	"2011"	23	203751	11.3
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2012"	"2012"	14	207033	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2013"	"2013"	24	212204	11.3
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2014"	"2014"	16	216399	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2015"	"2015"	15	220213	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2016"	"2016"	16	223428	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2000"	"2000"	22	375699	5.9
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2001"	"2001"	23	394911	5.8
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2002"	"2002"	15	388070	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2003"	"2003"	28	388977	7.2
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2004"	"2004"	16	392652	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2005"	"2005"	21	401089	5.2
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2006"	"2006"	25	409867	6.1
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2007"	"2007"	15	422843	Unreliable
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2008"	"2008"	32	432497	7.4
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2009"	"2009"	29	439627	6.6
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2010"	"2010"	36	445768	8.1
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2011"	"2011"	22	451379	4.9
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2012"	"2012"	24	454543	5.3
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2013"	"2013"	36	458087	7.9
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2014"	"2014"	46	460540	10.0
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2015"	"2015"	27	458672	5.9
	"Georgia"	"13"	"50-54 years"	"50-54"	"White"	"2106-3"	"2016"	"2016"	25	451824	5.5
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2000"	"2000"	16	79681	Unreliable
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2001"	"2001"	17	84627	Unreliable
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2002"	"2002"	14	92821	Unreliable
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2003"	"2003"	18	100818	Unreliable
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2004"	"2004"	19	110492	Unreliable
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2005"	"2005"	35	122248	28.6
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2006"	"2006"	14	134192	Unreliable
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2007"	"2007"	21	142303	14.8
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2008"	"2008"	28	149247	18.8
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2009"	"2009"	26	156732	16.6
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2010"	"2010"	17	161288	Unreliable
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2011"	"2011"	23	168632	13.6
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2012"	"2012"	21	175959	11.9
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2013"	"2013"	20	182122	11.0
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2014"	"2014"	30	187980	16.0
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2015"	"2015"	29	195273	14.9
	"Georgia"	"13"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2016"	"2016"	22	201213	10.9
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2000"	"2000"	35	287950	12.2
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2001"	"2001"	19	299675	Unreliable
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2002"	"2002"	28	326876	8.6
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2003"	"2003"	34	341117	10.0
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2004"	"2004"	26	355703	7.3
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2005"	"2005"	40	372358	10.7
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2006"	"2006"	37	387324	9.6
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2007"	"2007"	29	382406	7.6
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2008"	"2008"	29	383719	7.6
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2009"	"2009"	38	387681	9.8
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2010"	"2010"	36	393395	9.2
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2011"	"2011"	49	402642	12.2
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2012"	"2012"	45	412866	10.9
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2013"	"2013"	43	420769	10.2
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2014"	"2014"	53	426068	12.4
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2015"	"2015"	51	431796	11.8
	"Georgia"	"13"	"55-59 years"	"55-59"	"White"	"2106-3"	"2016"	"2016"	53	437937	12.1
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2000"	"2000"	13	60444	Unreliable
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2001"	"2001"	17	63747	Unreliable
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2002"	"2002"	26	66916	38.9
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2003"	"2003"	21	71329	29.4
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2004"	"2004"	15	75526	Unreliable
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2005"	"2005"	22	80163	27.4
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2006"	"2006"	19	85411	Unreliable
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2007"	"2007"	13	94413	Unreliable
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2008"	"2008"	23	102878	22.4
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2009"	"2009"	24	113091	21.2
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2010"	"2010"	23	121630	18.9
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2011"	"2011"	22	132918	16.6
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2012"	"2012"	28	138899	20.2
	"Georgia"	"13"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2013"	"2013"	31	144432	21.5
